Date,Open,High,Low,Close,Adj Close,Volume
2018-11-02,52.387501,53.412498,51.357498,51.869999,50.115292,365314800
2018-11-05,51.075001,51.097500,49.542500,50.397499,48.692596,264654800
2018-11-06,50.480000,51.180000,50.422501,50.942501,49.219170,127531600
2018-11-07,51.492500,52.514999,51.032501,52.487499,50.711903,133697600
2018-11-08,52.494999,52.529999,51.687500,52.122501,50.534962,101450400
2018-11-09,51.387501,51.502499,50.562500,51.117500,49.560570,137463200
2018-11-12,49.750000,49.962502,48.447498,48.542500,47.064003,204542000
2018-11-13,47.907501,49.294998,47.862499,48.057499,46.593773,187531600
2018-11-14,48.474998,48.619999,46.482498,46.700001,45.277626,243204000
2018-11-15,47.097500,47.992500,46.724998,47.852501,46.395020,185915200
2018-11-16,47.625000,48.742500,47.365002,48.382500,46.908875,147713200
2018-11-19,47.500000,47.674999,46.247501,46.465000,45.049770,167701200
2018-11-20,44.592499,45.367500,43.877499,44.244999,42.897392,271300800
2018-11-21,44.932499,45.067501,44.137501,44.195000,42.848919,124496800
2018-11-23,43.735001,44.150002,43.025002,43.072498,41.760601,94496000
2018-11-26,43.560001,43.737499,42.564999,43.654999,42.325363,179994000
2018-11-27,42.877499,43.692501,42.720001,43.560001,42.233257,165549600
2018-11-28,44.182499,45.322498,43.732498,45.235001,43.857243,184250000
2018-11-29,45.665001,45.700001,44.424999,44.887501,43.520321,167080000
2018-11-30,45.072498,45.082500,44.257500,44.645000,43.285202,158126000
2018-12-03,46.115002,46.235001,45.302502,46.205002,44.797699,163210000
2018-12-04,45.237499,45.597500,44.067501,44.172501,42.827095,165377200
2018-12-06,42.939999,43.695000,42.605000,43.680000,42.349602,172393600
2018-12-07,43.372501,43.622501,42.075001,42.122501,40.839542,169126400
2018-12-10,41.250000,42.522499,40.832500,42.400002,41.108593,248104000
2018-12-11,42.915001,42.947498,41.750000,42.157501,40.873474,189126800
2018-12-12,42.599998,42.980000,42.255001,42.275002,40.987389,142510800
2018-12-13,42.622501,43.142502,42.387501,42.737499,41.435806,127594400
2018-12-14,42.250000,42.270000,41.320000,41.369999,40.109959,162814800
2018-12-17,41.362499,42.087502,40.682499,40.985001,39.736683,177151600
2018-12-18,41.345001,41.882500,41.097500,41.517502,40.252964,135366000
2018-12-19,41.500000,41.862499,39.772499,40.222500,38.997417,196189200
2018-12-20,40.099998,40.527500,38.825001,39.207500,38.013321,259092000
2018-12-21,39.215000,39.540001,37.407501,37.682499,36.534771,382978400
